Name,Moran's I,UMI Count,Spots
CALR,0.1253235325201853,10.718076009430508,3460
NPM1,0.1904573956011259,10.71793087591431,3446
HMGN2,0.1743419383632236,10.657798158809259,3445
TMEM258,0.1099058462079908,10.567961236959638,3456
SSR4,0.12456111536582314,10.554637292823472,3457
HSP90AA1,0.20668010950310992,10.501897580061781,3433
NDUFA1,0.22876962564190606,10.479340965674867,3457
CHCHD2,0.1529450806410365,10.43835285995677,3450
ATP5F1A,0.07418878366779633,10.404492166502553,3463
FTL,0.23697929830765374,10.393908262590159,3417
TOMM7,0.1115881940108029,10.357254683031123,3450
DDX5,0.24231229826366535,10.33396848058784,3474
NHP2,0.2018181933824884,10.309569959171924,3439
DBI,0.2650849898143592,10.265938624251055,3433
PKM,0.18004263880902296,10.249916818493917,3446
OST4,0.19540526295380742,10.205968220998018,3432
GNB2,0.09199857526586482,10.18025116698082,3465
HNRNPH1,0.21199058424963507,10.117332984422838,3433
JTB,0.16168544928120002,10.051604290938295,3433
NDUFA13,0.08595448291215187,10.036587722146983,3459
HINT1,0.08203822668258712,9.988662807737187,3446
EEF1D,0.24206432403304873,9.981343164322043,3430
HSP90B1,0.34251910835780547,9.947137840279037,3439
ZFAS1,0.24926853481085023,9.850378019427113,3410
UQCRH,0.21847004965759617,9.827110909008827,3418
BTF3,0.1800045557999276,9.7792875720892,3430
ATP5F1B,0.2577824588902498,9.765470558826843,3444
RBM8A,0.12917539258246807,9.613634603996763,3431
HSPE1,0.18448418381502688,9.603224850627864,3456
MT-ND2,0.39141192165681066,9.59882507034967,3322
NDUFB9,0.12322367014531485,9.464694539234625,3434
PSMD6,0.12547430737978726,9.36138822301653,3424
UQCR10,0.10466156083544952,9.343174471549554,3440
HNRNPA1,0.09370386157810483,9.269697469272794,3435
UQCRB,0.17336870203602892,9.197000171889961,3421
PPDPF,0.25239134165578764,9.148998858761864,3386
NQO1,0.1521261100349119,9.07654770488655,3420
RAN,0.12809731085919898,9.053635866648408,3435
MYL12A,0.1702361612980345,9.040917705945713,3407
NDUFA4,0.22332609897559652,8.979704110297275,3390
ARPC1B,0.135447308366348,8.976718785350347,3429
SNHG7,0.30410883702071834,8.971762007746694,3409
GATA3,0.24722324643470012,8.888675917865942,3371
RPL22L1,0.17845414037613017,8.799433863870462,3429
OAZ1,0.09235792073365089,8.772417441129079,3427
APRT,0.08801137586784638,8.713251297557704,3431
POLR2L,0.12734000332347023,8.703715112777594,3415
HNRNPK,0.09973528472108818,8.699446125165968,3446
UBL5,0.0622441467996572,8.677474188667647,3444
SEC61G,0.14570692827734052,8.66633674637876,3434
SERHL2,0.42318748005489076,8.629190373495383,3369
SNRPG,0.088868090245261,8.590562684772049,3428
KIAA1324,0.3484888566938936,8.52716197502722,3396
WDR83OS,0.1998041881859801,8.477943642451937,3382
ARPC3,0.23705417851291985,8.385017955779585,3377
PRDX1,0.1257362769932796,8.371396691478326,3394
SNHG25,0.09594689460503768,8.362323517002213,3432
S100A13,0.16847426883410946,8.317744632371587,3393
SNRPD2,0.06149020758878551,8.313981876547293,3431
TMBIM6,0.23534937806177766,8.183954146275203,3425
SLC9A3R1,0.20054468283808916,8.181880472203654,3402
NDUFB2,0.09407383293760244,8.09883385598471,3407
